Entry	Mass	Gene Names (ordered locus)	Subunit structure	Subcellular location [CC]
P17169	66894	b3729 JW3707	SUBUNIT: Homodimer (PubMed:9739095) (Probable). In pull-down experiments interacts with CedA (PubMed:28818726). {ECO:0000269|PubMed:28818726, ECO:0000305|PubMed:9739095}.	SUBCELLULAR LOCATION: Cytoplasm.
P17411	50513	b1734 JW1723	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:10572139}.	
P17443	37815	b0090 JW0088	SUBUNIT: Homodimer (PubMed:12538870). Associates with MreB and MraY (PubMed:17640276). {ECO:0000269|PubMed:12538870, ECO:0000269|PubMed:17640276}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00033, ECO:0000269|PubMed:1649817, ECO:0000269|PubMed:17640276, ECO:0000269|PubMed:8449890}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_00033, ECO:0000269|PubMed:1649817, ECO:0000269|PubMed:17640276, ECO:0000269|PubMed:8449890}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_00033, ECO:0000269|PubMed:8449890}. Note=Randomly distributed in the cell envelope with a higher intensity at the division site. Mid-cell localization requires divisome components. {ECO:0000269|PubMed:17640276}.
P17444	61878	b0311 JW0303		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:3512525}; Peripheral membrane protein {ECO:0000269|PubMed:3512525}.
P17445	52911	b0312 JW0304	SUBUNIT: Dimer of dimers. {ECO:0000305|PubMed:2194570}.	
P17846	63998	b2763 JW2733	SUBUNIT: Alpha(8)-beta(8). The alpha component is a flavoprotein, the beta component is a hemoprotein. {ECO:0000255|HAMAP-Rule:MF_01540}.	
P17854	27976	b2762 JW2732	SUBUNIT: Homodimer. {ECO:0000269|PubMed:17352498, ECO:0000269|PubMed:7588765, ECO:0000269|PubMed:9261082}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00063, ECO:0000305}.
P17888	81655	b3935 JW3906	SUBUNIT: Component of the primosome, which is composed of PriA, PriB, PriC, DnaB, DnaC, DnaG and DnaT. Binds ssDNA as a monomer. Interacts with SSB and PriB. {ECO:0000255|HAMAP-Rule:MF_00983, ECO:0000269|PubMed:10956036, ECO:0000269|PubMed:15576682, ECO:0000269|PubMed:17588514, ECO:0000269|PubMed:8366072}.	
P17952	53626	b0091 JW0089		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P17993	26555	b2232 JW2226	SUBUNIT: Homodimer (Probable). Component of the Ubi complex metabolon, which regroups five ubiquinone biosynthesis proteins (UbiE, UbiF, UbiG, UbiH and UbiI) and two accessory factors (UbiK and the lipid-binding protein UbiJ) (PubMed:30686758). {ECO:0000269|PubMed:30686758, ECO:0000305}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:30686758}.
P18196	24776	b1176 JW1165	SUBUNIT: Interacts with MinD and FtsZ; homodimer.	
P18200	19418	b0418 JW0408		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:21148555}; Multi-pass membrane protein {ECO:0000269|PubMed:21148555}.
P18335	43767	b3359 JW3322	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01107}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01107, ECO:0000305}.
P18775	90399	b0894 JW5118	SUBUNIT: Heterotrimeric enzyme composed of a catalytic heterodimer (DmsAB) and a membrane anchor protein (DmsC). {ECO:0000269|PubMed:3280546}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:2170332, ECO:0000269|PubMed:3280546}; Peripheral membrane protein {ECO:0000269|PubMed:2170332, ECO:0000269|PubMed:3280546}; Cytoplasmic side {ECO:0000269|PubMed:2170332, ECO:0000269|PubMed:3280546}.
P18776	22869	b0895 JW0878	SUBUNIT: Heterotrimeric enzyme composed of a catalytic heterodimer (DmsAB) and a membrane anchor protein (DmsC).	
P18843	30637	b1740 JW1729	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00193, ECO:0000269|PubMed:15699042, ECO:0000269|PubMed:3025172}.	
P18956	61768	b3447 JW3412	SUBUNIT: This enzyme consists of two polypeptide chains, which are synthesized in precursor form from a single polypeptide. {ECO:0000269|PubMed:1360205, ECO:0000269|PubMed:16618936, ECO:0000269|PubMed:17135273, ECO:0000269|PubMed:18555071, ECO:0000269|PubMed:2877974}.	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:1360205, ECO:0000269|PubMed:2877974}.
P19318	58558	b1467 JW1462	SUBUNIT: Dimer of heterotrimers each composed of an alpha, a beta and a gamma chain. Alpha and beta are catalytic chains; gamma chains are involved in binding the enzyme complex to the cytoplasmic membrane.	SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein.
P19319	140227	b1468 JW1463	SUBUNIT: Tetramer composed of an alpha, a beta and 2 gamma chains. Alpha and beta are catalytic chains; gamma chain is involved in binding the enzyme complex to the cytoplasmic membrane.	SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein.
P19624	35114	b0052 JW0051	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00536, ECO:0000269|PubMed:12896974}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00536}.
P19636	31782	b2440 JW2433	SUBUNIT: The basic unit is a heterodimer, which further associates into a trimer of heterotetramers (PubMed:20519496, PubMed:21142024, PubMed:29797764, PubMed:19762342). 6 large subunits form a core ring with 6 small subunits projecting outwards (Probable). {ECO:0000269|PubMed:19762342, ECO:0000269|PubMed:20519496, ECO:0000269|PubMed:21142024, ECO:0000269|PubMed:29797764, ECO:0000305|PubMed:20519496}.	SUBCELLULAR LOCATION: Bacterial microcompartment {ECO:0000255|HAMAP-Rule:MF_00601}.
P19925	23259	b0583 JW5085	SUBUNIT: EntB, EntD, EntE, and EntF form a multienzyme complex called enterobactin synthase. {ECO:0000269|PubMed:9485415}.	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:2526281}.
P19926	45683	b1002 JW0987	SUBUNIT: Homodimer. {ECO:0000269|PubMed:12782623}.	SUBCELLULAR LOCATION: Periplasm.
P19934	43157	b0739 JW0729	SUBUNIT: The Tol-Pal system is composed of five core proteins: the inner membrane proteins TolA, TolQ and TolR, the periplasmic protein TolB and the outer membrane protein Pal. They form a network linking the inner and outer membranes and the peptidoglycan layer (PubMed:17233825). TolA interacts with TolQ and TolR via its N-terminal domain (PubMed:7744737, PubMed:10419942). Interacts with CpoB, and with the trimeric porins OmpC, OmpF, PhoE and LamB via its central domain (PubMed:8978668, PubMed:11994151). Interacts with TolB via its C-terminal domain (PubMed:11994151). Also interacts with Pal via its C-terminal domain. This interaction is proton motive force dependent and requires TolQ and TolR (PubMed:11115123, PubMed:11722743). {ECO:0000269|PubMed:10419942, ECO:0000269|PubMed:11115123, ECO:0000269|PubMed:11722743, ECO:0000269|PubMed:11994151, ECO:0000269|PubMed:7744737, ECO:0000269|PubMed:8978668, ECO:0000305|PubMed:17233825}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:2068069, ECO:0000269|PubMed:2687247}; Single-pass membrane protein {ECO:0000269|PubMed:2687247}. Note=Accumulates at cell constriction sites. Recruitment to the division site is dependent on FtsN activity. {ECO:0000269|PubMed:17233825}.
P20083	70244	b3030 JW2998	SUBUNIT: Heterotetramer composed of ParC and ParE. {ECO:0000255|HAMAP-Rule:MF_00938, ECO:0000269|PubMed:15105144, ECO:0000269|PubMed:21300644}.	
P20966	57519	b2167 JW2154		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|PROSITE-ProRule:PRU00427, ECO:0000269|PubMed:15919996, ECO:0000305|PubMed:3076173}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00427, ECO:0000269|PubMed:15919996, ECO:0000305|PubMed:3076173, ECO:0000305|PubMed:8626640}.
P21151	40876	b3845 JW5578	SUBUNIT: Heterotetramer of two alpha chains (FadB) and two beta chains (FadA). {ECO:0000269|PubMed:368024}.	SUBCELLULAR LOCATION: Cytoplasm.
P21156	35188	b2752 JW2722	SUBUNIT: Heterodimer composed of CysD, the smaller subunit, and CysN. {ECO:0000255|HAMAP-Rule:MF_00064}.	
P21165	50176	b3847 JW3823		
P21170	73898	b2938 JW2905	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:4571773}.	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:2198270}.
P21177	79594	b3846 JW3822	SUBUNIT: Heterotetramer of two alpha chains (FadB) and two beta chains (FadA). {ECO:0000255|HAMAP-Rule:MF_01621, ECO:0000269|PubMed:368024}.	
P21179	84163	b1732 JW1721	SUBUNIT: Homotetramer.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P21338	29618	b0611 JW0603	SUBUNIT: Monomer.	SUBCELLULAR LOCATION: Periplasm. Cytoplasm. Note=RNase I (periplasmic) and RNase I* (cytoplasmic) appear to be isoforms apparently encoded by the same gene. The cytoplasmic form is less active towards natural polymer RNA.
P21369	23362	b1768 JW1757		
P21437	34323	b2930 JW2897	SUBUNIT: Homodimer. {ECO:0000269|PubMed:19073594}.	
P21499	92109	b4179 JW5741	SUBUNIT: Monomer. {ECO:0000269|PubMed:11948193}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P21507	49914	b2576 JW2560	SUBUNIT: Interacts with the 50S ribosomal subunit. Forms a complex with the 50S ribosomal proteins L4 and L24, and a region near the 5'-end of 23S rRNA. {ECO:0000255|HAMAP-Rule:MF_00967, ECO:0000269|PubMed:19734346}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00967}.
P21513	118197	b1084 JW1071	SUBUNIT: Component of the RNA degradosome, which is a multiprotein complex involved in RNA processing and mRNA degradation. Within the RNA degradosome, RNase E assembles into a homotetramer formed by a dimer of dimers. Tetramerization is essential for catalytic activity, but not for RNA-binding. Interacts with RhlB, PNPase (pnp) and enolase (eno). Interacts with DeaD at reduced temperature. {ECO:0000255|HAMAP-Rule:MF_00970, ECO:0000269|PubMed:11134527, ECO:0000269|PubMed:15312761, ECO:0000269|PubMed:15554978, ECO:0000269|PubMed:15779893, ECO:0000269|PubMed:16237448, ECO:0000269|PubMed:16516921, ECO:0000269|PubMed:18337249, ECO:0000269|PubMed:18682225, ECO:0000269|PubMed:19327365, ECO:0000269|PubMed:20823555, ECO:0000269|PubMed:9732274}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11134527}. Cell inner membrane {ECO:0000269|PubMed:11134527, ECO:0000269|PubMed:22509045}; Peripheral membrane protein {ECO:0000269|PubMed:11134527, ECO:0000269|PubMed:22509045}; Cytoplasmic side {ECO:0000269|PubMed:11134527, ECO:0000269|PubMed:22509045}. Note=Associated with the cytoplasmic membrane via the N- and C-terminal regions. {ECO:0000269|PubMed:11134527, ECO:0000269|PubMed:22509045}.
P21514	40725	b0315 JW0307	SUBUNIT: Is in a fast thermodynamic monomer-homodimer equilibrium. Dimerization is required for PDE activity. Dimerization affinity is increased about 100-fold upon substrate binding. {ECO:0000269|PubMed:24451384}.	
P21599	51357	b1854 JW1843	SUBUNIT: Homotetramer.	
P21645	36038	b0179 JW0174	SUBUNIT: Homotrimer. {ECO:0000269|PubMed:18422345, ECO:0000269|PubMed:19655786}.	
P21693	49188	b1343 JW1337	SUBUNIT: Monomer. {ECO:0000269|PubMed:16325852}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P21829	30201	b0766 JW0749		
P21865	98718	b0695 JW0683		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:1532388}; Multi-pass membrane protein {ECO:0000269|PubMed:1532388}.
P21888	52202	b0526 JW0515	SUBUNIT: Monomer. {ECO:0000269|PubMed:12032090}.	SUBCELLULAR LOCATION: Cytoplasm.
P22106	62659	b0674 JW0660	SUBUNIT: Homodimer. {ECO:0000269|PubMed:10587437}.	
P22188	53344	b0085 JW0083		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P22255	27176	b4214 JW4172		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_02095, ECO:0000269|PubMed:15911532}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_02095, ECO:0000305}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_02095, ECO:0000305}.
P22256	45775	b2662 JW2637	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:15323550, ECO:0000269|PubMed:15723541}.	
P22259	59643	b3403 JW3366	SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_00453, ECO:0000269|PubMed:11724534, ECO:0000269|PubMed:12837799, ECO:0000269|PubMed:1701430, ECO:0000269|PubMed:17475535, ECO:0000269|PubMed:6986370, ECO:0000269|PubMed:8599762, ECO:0000269|PubMed:9406547, ECO:0000269|Ref.20, ECO:0000269|Ref.21}.	SUBCELLULAR LOCATION: Cytoplasm.
P22333	36397	b1623 JW1615		
P22523	170230	b0924 JW0907	SUBUNIT: Homodimerization via its hinge domain. Binds to DNA via its C-terminal region. Interacts, and probably forms a ternary complex, with MukE and MukF via its C-terminal region. The complex formation is stimulated by calcium or magnesium. Interacts with tubulin-related protein FtsZ. Identified in a complex with SpoT; IscS and ACP. Interacts with the ParC subunit of topoisomerase IV. {ECO:0000269|PubMed:10545099, ECO:0000269|PubMed:12885413, ECO:0000269|PubMed:1464330, ECO:0000269|PubMed:20921377, ECO:0000269|PubMed:9688555}.	SUBCELLULAR LOCATION: Cytoplasm, nucleoid {ECO:0000269|PubMed:11886550, ECO:0000269|PubMed:22380631}. Note=Restricted to the nucleoid region, far from the cell poles.
P22525	67812	b0925 JW0908		SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
P22564	32561	b0030 JW0028		
P22634	31002	b3967 JW5550	SUBUNIT: Monomer. {ECO:0000269|PubMed:17568739}.	
P23003	41967	b3965 JW3937		
P23256	43642	b1622 JW1614	SUBUNIT: Homodimer. Interacts with MalT. {ECO:0000269|PubMed:10698925}.	
P23367	67924	b4170 JW4128		
P23484	19480	b4293 JW4253	SUBUNIT: Interacts with FecR (via cytoplasmic N-terminus). {ECO:0000269|PubMed:10633096}.	
P23522	27384	b3126 JW3095	SUBUNIT: Homohexamer; trimer of dimers. {ECO:0000269|PubMed:10921867}.	
P23538	87435	b1702 JW1692	SUBUNIT: Homodimer. {ECO:0000269|PubMed:16880}.	
P23721	39783	b0907 JW0890	SUBUNIT: Homodimer. {ECO:0000269|PubMed:10024454}.	SUBCELLULAR LOCATION: Cytoplasm.
P23827	18192	b2209 JW2197	SUBUNIT: Homodimer.	SUBCELLULAR LOCATION: Periplasm.
P23836	25535	b1130 JW1116	SUBUNIT: Monomer in the inactive, unphosphorylated state and dimer in the active, phosphorylated state. {ECO:0000305|PubMed:17545283}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P23837	55300	b1129 JW1115	SUBUNIT: Homodimer; probably dimerizes via the cytoplasmic domain (Probable). Probably interacts with MgrB in the periplasm, altering its activity and that of downstream effector PhoP. {ECO:0000269|PubMed:11493605, ECO:0000269|PubMed:15126461, ECO:0000269|PubMed:18348979, ECO:0000305}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}.
P23845	52558	b2751 JW2721	SUBUNIT: Heterodimer composed of CysD, the smaller subunit, and CysN. {ECO:0000255|HAMAP-Rule:MF_00062}.	
P23847	60294	b3544 JW3513	SUBUNIT: The complex is composed of two ATP-binding proteins (DppD and DppF), two transmembrane proteins (DppB and DppC) and a solute-binding protein (DppA). {ECO:0000269|PubMed:7536291}.	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:1702779}.
P23857	11475	b1308 JW1301	SUBUNIT: Monomer. {ECO:0000269|PubMed:18355042}.	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:1712397}.
P23865	76663	b1830 JW1819		SUBCELLULAR LOCATION: Cell inner membrane; Peripheral membrane protein; Periplasmic side.
P23872	36034	b0476 JW0465	SUBUNIT: Homodimer. Interacts with MalT and MelA. {ECO:0000269|PubMed:11867639, ECO:0000269|PubMed:12374803}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9576853}.
P23873	10016	b1508 JW1501	SUBUNIT: Homodimer (PubMed:8021189). Binds operator DNA sites in the absence of HipA, inducing a 70 degree bend in consecutive operators and deforming DNA between the operators so that HipB dimers bind on opposite faces of the DNA (PubMed:26222023). Forms a HipA(2)HipB(2) heterotetramer which can interact with a single operator site on DNA, inducing a 70 degree bend (PubMed:19150849). When 2 operators are present each HipB dimer contacts 1 HipA molecule, which are brought together by the DNA bend and dimerize, blocking the HipA active site and inactivating its toxic activity (PubMed:26222023). HipA-HipB-induced bending also distorts the -35 and -10 boxes of the promoter and probably prevents sigma-factor binding, and additionally bound HipB and HipA block RNA polymerase access to the -35 box, thus repressing the operon (PubMed:26222023). This complex also blocks the toxic activity of HipA (PubMed:19150849). Mutations present in allele hipA7 (G22S and D291A) decrease the affinity of HipA for HipB (PubMed:20616060). {ECO:0000269|PubMed:19150849, ECO:0000269|PubMed:19622872, ECO:0000269|PubMed:20616060, ECO:0000269|PubMed:24089363, ECO:0000269|PubMed:26222023, ECO:0000269|PubMed:8021189}.	
P23874	49276	b1507 JW1500	SUBUNIT: Forms a HipA(2)HipB(2) heterotetramer which can interact with a single operator on DNA (PubMed:19150849). When 2 operators are present each HipB dimer contacts 1 HipA molecule, which are brought together by the DNA bend and dimerize, blocking the HipA active site and inactivating its toxic activity (PubMed:26222023). Mutations present in allele hipA7 (G22S and D291A) decrease the affinity of HipA for HipB (PubMed:20616060). {ECO:0000269|PubMed:19150849, ECO:0000269|PubMed:19622872, ECO:0000269|PubMed:20616060, ECO:0000269|PubMed:22999936, ECO:0000269|PubMed:24089363, ECO:0000269|PubMed:24095282, ECO:0000269|PubMed:26222023}.	
P23882	34168	b3288 JW3249	SUBUNIT: Monomer. {ECO:0000269|PubMed:6989606}.	
P23883	53419	b1300 JW1293		
P23886	62920	b0886 JW0869	SUBUNIT: Forms a heterodimer with CydD. {ECO:0000269|PubMed:15470119, ECO:0000269|PubMed:24958725}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15470119, ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15470119}.
P23890	57813	b4133 JW4094	SUBUNIT: Homodimer (PubMed:21308846, PubMed:24946151). Dimerization of the periplasmic domain is required for activation of the cadBA operon (PubMed:24946151). Interacts strongly with the lysine permease LysP in the absence of lysine or at low lysine concentrations (PubMed:18086202, PubMed:24056175). Interaction is markedly attenuated under increasing lysine levels (PubMed:24056175). Concomitant pH-dependent protonation of periplasmic amino acids in both proteins dissolves their electrostatic connections resulting in further destabilization of the CadC/LysP interaction (PubMed:24056175). {ECO:0000269|PubMed:18086202, ECO:0000269|PubMed:21308846, ECO:0000269|PubMed:24056175, ECO:0000269|PubMed:24946151}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:24946151, ECO:0000269|PubMed:7830562}; Single-pass membrane protein {ECO:0000269|PubMed:24946151}. Note=Membrane insertion requires the SecA translocase. {ECO:0000269|PubMed:24946151}.
P23893	45366	b0154 JW0150	SUBUNIT: Homodimer. {ECO:0000269|PubMed:2045363}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P23894	31923	b1829 JW1818		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:12081643}; Multi-pass membrane protein {ECO:0000269|PubMed:12081643}. Note=Bioinformatics programs predict 4 transmembrane helices, however PhoA and Bla fusions as well as other experiments only confirm the first 2. {ECO:0000269|PubMed:12081643}.
P23895	11958	b0543 JW0531	SUBUNIT: Homodimer (PubMed:14633977, PubMed:15111102, PubMed:14755055, PubMed:15882076, PubMed:17003034, PubMed:18024586, PubMed:20551331, PubMed:22178925, PubMed:23920359). Forms an antiparallel dimeric structure (PubMed:17005200, PubMed:18024586, PubMed:20551331, PubMed:22178925, PubMed:23920359). Also forms dimers of homodimers (PubMed:14755055). {ECO:0000269|PubMed:14633977, ECO:0000269|PubMed:14755055, ECO:0000269|PubMed:15111102, ECO:0000269|PubMed:15882076, ECO:0000269|PubMed:17003034, ECO:0000269|PubMed:17005200, ECO:0000269|PubMed:18024586, ECO:0000269|PubMed:20551331, ECO:0000269|PubMed:22178925, ECO:0000269|PubMed:23920359}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15044024, ECO:0000269|PubMed:9688273}; Multi-pass membrane protein {ECO:0000269|PubMed:15044024, ECO:0000269|PubMed:17005200, ECO:0000269|PubMed:9688273}. Note=Forms antiparallel homodimers (PubMed:17005200, PubMed:18024586, PubMed:20508091, PubMed:20551331, PubMed:22178925, PubMed:23920359). The topology could be controlled by a single positively charged residue placed in different locations throughout the protein, including the very C terminus (PubMed:20508091). {ECO:0000269|PubMed:17005200, ECO:0000269|PubMed:18024586, ECO:0000269|PubMed:20508091, ECO:0000269|PubMed:20551331, ECO:0000269|PubMed:22178925, ECO:0000269|PubMed:23920359}.
P23908	42347	b3957 JW3929	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01108, ECO:0000269|PubMed:1551850}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01108, ECO:0000305}.
P23909	95247	b2733 JW2703		
P23930	57066	b0657 JW0654	SUBUNIT: Monomer. {ECO:0000269|PubMed:28885614}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01148, ECO:0000269|PubMed:15513925, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:2032623, ECO:0000269|PubMed:28675161, ECO:0000269|PubMed:28885614}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01148, ECO:0000269|PubMed:15513925, ECO:0000269|PubMed:28675161, ECO:0000269|PubMed:28885614}.
P24082	65715	ECOK12F089	SUBUNIT: Interacts with OmpA of recipient cells (Probable) (PubMed:16272376). Might form multimers (PubMed:16272376). May interact with TraG (Probable). {ECO:0000269|PubMed:16272376, ECO:0000305|PubMed:1593622, ECO:0000305|PubMed:9696748}.	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:1593622, ECO:0000269|PubMed:16272376}. Note=Part of the protein is accessible to externally added proteases (PubMed:1593622, PubMed:16272376). A topology of the protein suggesting it is a beta-barrel has been proposed; this was not confirmed using bioinformatics programs available in April 2019 (Probable). {ECO:0000269|PubMed:1593622, ECO:0000269|PubMed:16272376, ECO:0000305|PubMed:16272376}.
P24171	77516	b1538 JW1531		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:8226676}.
P24173	35544	b3621 JW3596		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:9446588}; Peripheral membrane protein {ECO:0000269|PubMed:9446588}; Cytoplasmic side {ECO:0000305|PubMed:9446588}.
P24177	113047	b2470 JW2454		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}.
P24182	49321	b3256 JW3224	SUBUNIT: Acetyl-CoA carboxylase is a heterohexamer of biotin carboxyl carrier protein, biotin carboxylase and the two subunits of carboxyl transferase in a 2:2 complex. {ECO:0000269|PubMed:10821865, ECO:0000269|PubMed:16793549}.	
P24183	112963	b1474 JW1470	SUBUNIT: Trimer of heterotrimers, consisting of subunits alpha, beta and gamma. {ECO:0000269|PubMed:11884747}.	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:11884747}.
P24186	31044	b0529 JW0518	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01576, ECO:0000269|PubMed:10386884, ECO:0000269|PubMed:1748668}.	
P24188	39781	b1055 JW1042		
P24192	41363	b2729 JW2699	SUBUNIT: Monomer (PubMed:15504408). Interacts with HypC (PubMed:12441107, PubMed:15504408, PubMed:23022438). Forms a complex with HypC, or HybG, and HypE (PubMed:15504408, PubMed:16412426). {ECO:0000269|PubMed:12441107, ECO:0000269|PubMed:15504408, ECO:0000269|PubMed:16412426, ECO:0000269|PubMed:23022438}.	
P24193	35092	b2730 JW2700	SUBUNIT: Homodimer (PubMed:18065529). Forms a complex with HypF (PubMed:15291820, PubMed:18065529). Also forms a complex with HypC, or HybG, and HypD (PubMed:15504408, PubMed:16412426). {ECO:0000269|PubMed:15291820, ECO:0000269|PubMed:15504408, ECO:0000269|PubMed:16412426, ECO:0000269|PubMed:18065529}.	
P24203	35660	b4352 JW5790	SUBUNIT: Monomer in the apo form (PubMed:24449932). Metal binding induces oligomerization. Forms homodimers and higher oligomers (PubMed:24449932). {ECO:0000269|PubMed:24449932}.	
P24207	50677	b0576 JW0565		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:8626334, ECO:0000269|PubMed:9791098}; Multi-pass membrane protein {ECO:0000269|PubMed:8626334}.
P24215	44838	b4322 JW4285		
P24224	14052	b2563 JW2547	SUBUNIT: Homodimer. {ECO:0000269|PubMed:7559576}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P24228	51798	b3182 JW3149		SUBCELLULAR LOCATION: Periplasm {ECO:0000305}.
P24230	76430	b3652 JW3627		
P24232	43868	b2552 JW2536	SUBUNIT: Monomer.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:7875569}. Note=Has also been found to localize into the periplasm, but spectral analysis revealed that biochemically active HMP is exclusively found in the cytoplasmic fraction.
P24554	49472	b4389 JW4352		
P25397	22531	b1430 JW1426	SUBUNIT: Homodimer. {ECO:0000305|PubMed:11053398}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:11053398}. Note=Probably a peripheral membrane protein that interacts with TehA.
P25437	39359	b0356 JW0347	SUBUNIT: Homodimer. {ECO:0000269|PubMed:1731906}.	SUBCELLULAR LOCATION: Cytoplasm.
P25516	97677	b1276 JW1268	SUBUNIT: Monomer. {ECO:0000269|PubMed:1838390}.	
P25519	48327	b4173 JW4131	SUBUNIT: Monomer. Associates with the 50S ribosomal subunit. This interaction occurs in the presence of GTP, GDP, ATP or ADP, but not in their absence. {ECO:0000255|HAMAP-Rule:MF_00900, ECO:0000269|PubMed:19109926, ECO:0000269|PubMed:19181811}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00900, ECO:0000269|PubMed:19181811}. Note=May associate with membranes.
P25522	49231	b3706 JW3684	SUBUNIT: Homodimer. Heterotetramer of two MnmE and two MnmG subunits. {ECO:0000255|HAMAP-Rule:MF_00379, ECO:0000269|PubMed:16763562}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00379, ECO:0000269|PubMed:10601028}. Note=Partially associated with the inner membrane.
P25524	47591	b0337 JW0328	SUBUNIT: Homohexamer. {ECO:0000269|PubMed:11679731}.	
P25526	51720	b2661 JW2636	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:20174634}.	
P25527	51080	b2663 JW2638	SUBUNIT: Monomer. {ECO:0000269|PubMed:11311234}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:11311234, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:9806886}; Multi-pass membrane protein {ECO:0000269|PubMed:9806886}.
